S majuscule tracé à la main
544
(390.0, ( -0.6500000000000001, 0.04285714285714293))
(405.0, ( -0.6357142857142857, 0.04285714285714293))
(405.0, ( -0.6071428571428572, 0.04285714285714293))
(421.0, ( -0.592857142857143, 0.04285714285714293))
(421.0, ( -0.5714285714285714, 0.04285714285714293))
(437.0, ( -0.5571428571428572, 0.04285714285714293))
(437.0, ( -0.5428571428571429, 0.04285714285714293))
(452.0, ( -0.5285714285714287, 0.04285714285714293))
(452.0, ( -0.5214285714285716, 0.04285714285714293))
(468.0, ( -0.5142857142857145, 0.04285714285714293))
(468.0, ( -0.5, 0.04285714285714293))
(483.0, ( -0.48571428571428577, 0.04285714285714293))
(483.0, ( -0.47857142857142865, 0.04285714285714293))
(499.0, ( -0.47142857142857153, 0.04285714285714293))
(515.0, ( -0.47142857142857153, 0.0357142857142857))
(530.0, ( -0.4642857142857144, 0.0357142857142857))
(546.0, ( -0.4571428571428573, 0.0357142857142857))
(561.0, ( -0.4500000000000002, 0.0357142857142857))
(577.0, ( -0.44285714285714306, 0.0357142857142857))
(593.0, ( -0.4285714285714288, 0.0357142857142857))
(608.0, ( -0.4214285714285717, 0.0357142857142857))
(608.0, ( -0.3999999999999999, 0.0357142857142857))
(624.0, ( -0.3928571428571428, 0.0357142857142857))
(624.0, ( -0.3857142857142857, 0.0357142857142857))
(639.0, ( -0.37142857142857144, 0.0357142857142857))
(655.0, ( -0.3571428571428572, 0.0357142857142857))
(655.0, ( -0.34285714285714297, 0.0357142857142857))
(671.0, ( -0.3214285714285716, 0.0357142857142857))
(671.0, ( -0.3071428571428574, 0.0357142857142857))
(686.0, ( -0.27857142857142847, 0.0357142857142857))
(686.0, ( -0.25, 0.0357142857142857))
(702.0, ( -0.2071428571428573, 0.0357142857142857))
(702.0, ( -0.1071428571428572, 0.0357142857142857))
(717.0, ( -0.057142857142857384, 0.0357142857142857))
(733.0, ( 0.02857142857142847, 0.0357142857142857))
(733.0, ( 0.06428571428571406, 0.0357142857142857))
(749.0, ( 0.08571428571428585, 0.0357142857142857))
(749.0, ( 0.1071428571428572, 0.0357142857142857))
(764.0, ( 0.11428571428571432, 0.0357142857142857))
(764.0, ( 0.1428571428571428, 0.0357142857142857))
(780.0, ( 0.1499999999999999, 0.0357142857142857))
(795.0, ( 0.16428571428571415, 0.0357142857142857))
(795.0, ( 0.1857142857142855, 0.0357142857142857))
(811.0, ( 0.19285714285714262, 0.0357142857142857))
(811.0, ( 0.20714285714285685, 0.0357142857142857))
(827.0, ( 0.22142857142857153, 0.0357142857142857))
(827.0, ( 0.24285714285714288, 0.04285714285714293))
(842.0, ( 0.25, 0.04285714285714293))
(842.0, ( 0.2571428571428571, 0.04285714285714293))
(858.0, ( 0.27142857142857135, 0.04285714285714293))
(873.0, ( 0.27857142857142847, 0.04285714285714293))
(873.0, ( 0.2857142857142856, 0.04285714285714293))
(889.0, ( 0.2999999999999998, 0.04285714285714293))
(905.0, ( 0.30714285714285694, 0.04285714285714293))
(905.0, ( 0.31428571428571406, 0.050000000000000044))
(920.0, ( 0.3285714285714283, 0.050000000000000044))
(920.0, ( 0.34285714285714297, 0.05714285714285716))
(936.0, ( 0.3571428571428572, 0.06428571428571428))
(951.0, ( 0.37857142857142856, 0.07142857142857151))
(951.0, ( 0.3999999999999999, 0.07857142857142863))
(967.0, ( 0.40714285714285703, 0.08571428571428574))
(967.0, ( 0.42142857142857126, 0.08571428571428574))
(983.0, ( 0.4285714285714284, 0.08571428571428574))
(998.0, ( 0.4357142857142855, 0.08571428571428574))
(998.0, ( 0.4357142857142855, 0.09285714285714286))
(1014.0, ( 0.4428571428571426, 0.09285714285714286))
(1029.0, ( 0.44999999999999973, 0.09285714285714286))
(1045.0, ( 0.44999999999999973, 0.09999999999999998))
(1045.0, ( 0.4642857142857144, 0.09999999999999998))
(1061.0, ( 0.47857142857142865, 0.11428571428571432))
(1076.0, ( 0.48571428571428577, 0.11428571428571432))
(1092.0, ( 0.4928571428571429, 0.12142857142857144))
(1092.0, ( 0.5, 0.12142857142857144))
(1107.0, ( 0.5071428571428571, 0.12142857142857144))
(1107.0, ( 0.5142857142857142, 0.1357142857142858))
(1123.0, ( 0.5214285714285714, 0.1428571428571429))
(1123.0, ( 0.5285714285714285, 0.15714285714285714))
(1139.0, ( 0.5428571428571427, 0.15714285714285714))
(1139.0, ( 0.5499999999999998, 0.16428571428571426))
(1154.0, ( 0.5642857142857141, 0.17142857142857149))
(1154.0, ( 0.5714285714285712, 0.1785714285714286))
(1170.0, ( 0.5857142857142854, 0.20000000000000007))
(1170.0, ( 0.592857142857143, 0.20714285714285718))
(1185.0, ( 0.6000000000000001, 0.2142857142857143))
(1185.0, ( 0.6071428571428572, 0.22142857142857142))
(1201.0, ( 0.6142857142857143, 0.22142857142857142))
(1217.0, ( 0.6142857142857143, 0.23571428571428577))
(1217.0, ( 0.6214285714285714, 0.24285714285714288))
(1232.0, ( 0.6285714285714286, 0.2571428571428571))
(1248.0, ( 0.6357142857142857, 0.26428571428571435))
(1248.0, ( 0.6428571428571428, 0.2785714285714286))
(1263.0, ( 0.6428571428571428, 0.2857142857142857))
(1279.0, ( 0.6428571428571428, 0.2928571428571429))
(1279.0, ( 0.6499999999999999, 0.2928571428571429))
(1295.0, ( 0.6499999999999999, 0.30000000000000004))
(1310.0, ( 0.6499999999999999, 0.3142857142857143))
(1310.0, ( 0.6499999999999999, 0.3285714285714286))
